id,probability_maraud,successful_mating,next_foraging_time,x_pos,y_pos,foraging_events,foraging_hrs,foraging_sqhrs,staying_events,staying_hrs,staying_sqhrs,repairing_events,repairing_hrs,repairing_sqhrs,marauding_events,marauding_hrs,marauding_sqhrs,traveling_events,traveling_hrs,traveling_sqhrs
0,0.0,14,360.817922354,509.710846449,653.013294312,560.0,70.8504898915,15.1538991977,1326.0,223.611978317,47.5148157799,403.0,65.8192643308,13.8518490598,0.0,0.0,0.0,0.0,0.0,0.0
1,0.15,14,360.310724738,398.474579912,187.856034008,562.0,68.3338081651,14.5006590985,1193.0,204.213894642,43.6378083055,481.0,80.6180417895,16.9083169227,39.0,3.9,0.39,191.0,3.02975926282,0.0580206838151
2,0.15,10,360.235124457,609.240840911,634.721010955,586.0,70.3879838837,15.0697081077,1333.0,220.632383251,47.1116270399,354.0,61.4023637227,13.4109908537,38.0,3.8,0.38,261.0,3.85476793544,0.0763348546119
3,0.15,9,360.004839725,180.772533917,196.827153499,562.0,69.770925247,14.4301467977,1236.0,208.6150179,44.4712696684,446.0,74.1708597803,15.6122025423,39.0,3.9,0.39,218.0,3.65793865161,0.0786798483586
4,0.15,5,359.83221043,221.168023805,331.762080523,567.0,74.2537779081,15.0600380633,1186.0,197.513669168,42.0450474134,486.0,81.3621651899,17.509671875,36.0,3.6,0.36,205.0,3.27052074045,0.06240859467
5,0.15,10,359.948975467,25.6571342157,43.996816215,574.0,72.543221178,14.7666241261,1266.0,219.122245859,47.6316245651,377.0,61.0787060771,12.5200458728,35.0,3.5,0.35,199.0,3.92226697524,0.102635991975
6,0.0,6,360.535691465,362.257784595,77.0951960378,581.0,68.4433972265,14.2608684944,1509.0,252.24276051,53.2538406289,235.0,39.3810877164,8.11924804854,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6,359.829713904,163.666445332,773.128455618,550.0,73.0211609678,16.1159755436,1363.0,234.026282221,50.8981086945,322.0,52.9951556256,10.8109463945,0.0,0.0,0.0,0.0,0.0,0.0
8,0.15,8,360.465557951,166.219356796,656.175806101,552.0,71.0371706851,15.5003744788,1270.0,215.846912477,46.5359483733,399.0,66.433788155,13.8145067992,31.0,3.1,0.31,229.0,3.86770324768,0.0840766038655
9,0.15,12,360.087986163,48.7509912894,553.584127267,570.0,70.4142675418,14.2396373956,1404.0,240.230908479,52.2090985592,237.0,41.0121169587,8.95295472836,39.0,3.9,0.39,253.0,4.61866520417,0.100216785698
10,0.0,15,360.322597154,670.174561545,737.456851927,574.0,67.2159454064,13.447596511,1444.0,243.766684956,51.8999915874,298.0,49.0353346455,10.1959441466,0.0,0.0,0.0,0.0,0.0,0.0
11,0.15,5,360.399810069,22.8024250238,74.1688302627,571.0,71.470379713,15.1664082414,1223.0,214.858362268,46.7398847137,396.0,66.1864955796,14.0606031041,35.0,3.5,0.35,214.0,4.0100033677,0.10177063273
12,0.15,7,360.192947274,287.198335592,577.123905424,577.0,74.5425261573,15.2143049068,1069.0,182.729564317,39.5721257274,556.0,95.686371937,20.5729076111,39.0,3.9,0.39,221.0,3.16905956127,0.0580295170638
13,0.0,7,360.036399203,779.168701656,769.21336173,567.0,67.3387904963,13.6176134857,1534.0,259.8332138,55.8270337588,197.0,33.0203714725,7.00009450722,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,9,360.31519733,609.566167682,623.526897022,565.0,69.7233924441,14.93506761,1121.0,196.212525752,42.2441898203,547.0,94.1710107292,20.2872896432,0.0,0.0,0.0,0.0,0.0,0.0
15,0.15,12,360.57105881,186.732518072,214.523285173,566.0,69.704345364,14.9215369064,1275.0,216.851448735,47.010828922,380.0,65.4591265122,14.0573840526,41.0,4.1,0.41,236.0,3.96720902335,0.0855074424001
16,0.15,2,360.098079318,339.693095992,723.487169197,567.0,71.4246521589,14.5321574908,1033.0,171.743879112,35.9436211067,652.0,110.709386458,23.3283595946,30.0,3.0,0.3,196.0,3.19488962236,0.0698987412299
17,0.15,8,360.302454097,236.750187005,709.545968399,563.0,70.2146590435,14.6914585256,1345.0,225.595682991,47.7303215003,338.0,58.2816926912,12.9527104686,26.0,2.6,0.26,224.0,3.49394143026,0.0748059328752
18,0.0,11,360.124618529,70.7210481108,102.671388444,578.0,71.2191038698,13.9919397219,1345.0,223.265819057,47.4995897943,404.0,65.779578845,13.8820320423,0.0,0.0,0.0,0.0,0.0,0.0
19,0.15,11,360.596993338,768.146553721,732.874409997,561.0,70.6519425762,15.6463300677,1419.0,241.092911757,51.4355948369,248.0,40.7797111988,8.64867794548,33.0,3.3,0.33,254.0,4.29389532556,0.0974020826007
20,0.0,11,359.967628871,252.975478153,552.107281909,557.0,64.5323238012,11.9617708409,1315.0,221.51581747,46.8808645245,427.0,73.9741390245,16.0958143741,0.0,0.0,0.0,0.0,0.0,0.0
21,0.15,4,360.607048379,892.124805557,873.558905041,577.0,73.7205045811,15.9357698092,1287.0,216.726182131,46.138269057,378.0,61.5685168615,12.595808451,37.0,3.7,0.37,222.0,4.70159416226,0.119490841113
